filename,left,right
20170417.1727702684-84-1_1,1,1
20170417.1727702684-84-1_10,1,0
20170417.1727702684-84-1_11,1,1
20170417.1727702684-84-1_12,1,1
20170417.1727702684-84-1_13,1,0
20170417.1727702684-84-1_14,1,1
20170417.1727702684-84-1_15,1,1
20170417.1727702684-84-1_16,1,1
20170417.1727702684-84-1_2,1,1
20170417.1727702684-84-1_3,1,1
20170417.1727702684-84-1_4,0,0
20170417.1727702684-84-1_5,0,0
20170417.1727702684-84-1_6,0,0
20170417.1727702684-84-1_7,0,0
20170417.1727702684-84-1_8,1,0
20170417.1727702684-84-1_9,1,0
20170418.1727702684-101-1_1,1,1
20170418.1727702684-101-1_10,1,1
20170418.1727702684-101-1_11,1,1
20170418.1727702684-101-1_12,1,1
20170418.1727702684-101-1_13,1,1
20170418.1727702684-101-1_14,1,1
20170418.1727702684-101-1_15,1,1
20170418.1727702684-101-1_16,1,1
20170418.1727702684-101-1_2,1,1
20170418.1727702684-101-1_3,1,1
20170418.1727702684-101-1_4,1,1
20170418.1727702684-101-1_5,1,1
20170418.1727702684-101-1_6,1,1
20170418.1727702684-101-1_7,1,1
20170418.1727702684-101-1_8,1,1
20170418.1727702684-101-1_9,0,1
20170418.1727702684-104-1_1,1,1
20170418.1727702684-104-1_10,1,1
20170418.1727702684-104-1_11,1,1
20170418.1727702684-104-1_12,1,1
20170418.1727702684-104-1_13,1,1
20170418.1727702684-104-1_14,1,1
20170418.1727702684-104-1_15,1,1
20170418.1727702684-104-1_16,1,1
20170418.1727702684-104-1_2,1,1
20170418.1727702684-104-1_3,1,1
20170418.1727702684-104-1_4,1,1
20170418.1727702684-104-1_5,1,1
20170418.1727702684-104-1_6,1,1
20170418.1727702684-104-1_7,1,1
20170418.1727702684-104-1_8,1,1
20170418.1727702684-104-1_9,1,1
20170418.1727702684-110-1_1,1,1
20170418.1727702684-110-1_10,1,1
20170418.1727702684-110-1_11,1,1
20170418.1727702684-110-1_12,1,1
20170418.1727702684-110-1_13,1,1
20170418.1727702684-110-1_14,1,1
20170418.1727702684-110-1_15,1,1
20170418.1727702684-110-1_16,1,1
20170418.1727702684-110-1_2,1,1
20170418.1727702684-110-1_3,1,1
20170418.1727702684-110-1_4,1,1
20170418.1727702684-110-1_5,1,1
20170418.1727702684-110-1_6,1,1
20170418.1727702684-110-1_7,1,1
20170418.1727702684-110-1_8,1,1
20170418.1727702684-110-1_9,1,1
20170418.1727702684-112-1_1,1,1
20170418.1727702684-112-1_10,1,1
20170418.1727702684-112-1_11,1,1
20170418.1727702684-112-1_12,1,1
20170418.1727702684-112-1_13,1,1
20170418.1727702684-112-1_14,1,1
20170418.1727702684-112-1_15,1,1
20170418.1727702684-112-1_16,1,1
20170418.1727702684-112-1_2,1,1
20170418.1727702684-112-1_3,1,1
20170418.1727702684-112-1_4,1,1
20170418.1727702684-112-1_5,1,1
20170418.1727702684-112-1_6,1,1
20170418.1727702684-112-1_7,1,1
20170418.1727702684-112-1_8,1,1
20170418.1727702684-112-1_9,1,1
20170425.1727702684-129-1_1,1,1
20170425.1727702684-129-1_10,1,1
20170425.1727702684-129-1_11,1,1
20170425.1727702684-129-1_12,1,1
20170425.1727702684-129-1_13,1,1
20170425.1727702684-129-1_14,1,1
20170425.1727702684-129-1_15,1,1
20170425.1727702684-129-1_16,1,1
20170425.1727702684-129-1_2,1,1
20170425.1727702684-129-1_3,1,1
20170425.1727702684-129-1_4,1,1
20170425.1727702684-129-1_5,1,0
20170425.1727702684-129-1_6,1,1
20170425.1727702684-129-1_7,1,1
20170425.1727702684-129-1_8,1,1
20170425.1727702684-129-1_9,1,1
20170425.1727702684-130-1_1,1,1
20170425.1727702684-130-1_10,1,1
20170425.1727702684-130-1_11,1,1
20170425.1727702684-130-1_12,1,1
20170425.1727702684-130-1_13,1,1
20170425.1727702684-130-1_14,1,1
20170425.1727702684-130-1_15,1,1
20170425.1727702684-130-1_16,1,1
20170425.1727702684-130-1_2,1,1
20170425.1727702684-130-1_3,1,1
20170425.1727702684-130-1_4,1,1
20170425.1727702684-130-1_5,1,1
20170425.1727702684-130-1_6,1,1
20170425.1727702684-130-1_7,1,1
20170425.1727702684-130-1_8,1,1
20170425.1727702684-130-1_9,1,1
20170504.1727702684-169-1_1,2,2
20170504.1727702684-169-1_10,0,0
20170504.1727702684-169-1_11,2,0
20170504.1727702684-169-1_12,2,2
20170504.1727702684-169-1_13,2,2
20170504.1727702684-169-1_14,0,2
20170504.1727702684-169-1_15,2,2
20170504.1727702684-169-1_16,2,2
20170504.1727702684-169-1_2,2,2
20170504.1727702684-169-1_3,2,2
20170504.1727702684-169-1_4,2,2
20170504.1727702684-169-1_5,2,2
20170504.1727702684-169-1_6,2,2
20170504.1727702684-169-1_7,2,2
20170504.1727702684-169-1_8,2,2
20170504.1727702684-169-1_9,2,2
20170508.1727702684-444-1_1,1,1
20170508.1727702684-444-1_10,1,1
20170508.1727702684-444-1_11,1,1
20170508.1727702684-444-1_12,1,1
20170508.1727702684-444-1_13,1,1
20170508.1727702684-444-1_14,1,1
20170508.1727702684-444-1_15,1,1
20170508.1727702684-444-1_16,1,1
20170508.1727702684-444-1_2,1,1
20170508.1727702684-444-1_3,1,1
20170508.1727702684-444-1_4,1,1
20170508.1727702684-444-1_5,1,1
20170508.1727702684-444-1_6,1,1
20170508.1727702684-444-1_7,1,1
20170508.1727702684-444-1_8,1,1
20170508.1727702684-444-1_9,1,1
20170508.1727702684-446-1_1,1,1
20170508.1727702684-446-1_10,1,1
20170508.1727702684-446-1_11,1,1
20170508.1727702684-446-1_12,1,1
20170508.1727702684-446-1_13,1,1
20170508.1727702684-446-1_14,1,1
20170508.1727702684-446-1_15,1,1
20170508.1727702684-446-1_16,1,1
20170508.1727702684-446-1_2,1,1
20170508.1727702684-446-1_3,1,1
20170508.1727702684-446-1_4,1,1
20170508.1727702684-446-1_5,1,1
20170508.1727702684-446-1_6,1,1
20170508.1727702684-446-1_7,1,1
20170508.1727702684-446-1_8,1,1
20170508.1727702684-446-1_9,1,1
20170508.1727702684-447-1_1,1,1
20170508.1727702684-447-1_10,1,1
20170508.1727702684-447-1_11,0,1
20170508.1727702684-447-1_12,0,1
20170508.1727702684-447-1_13,1,1
20170508.1727702684-447-1_14,1,1
20170508.1727702684-447-1_15,1,1
20170508.1727702684-447-1_16,1,1
20170508.1727702684-447-1_2,1,1
20170508.1727702684-447-1_3,1,1
20170508.1727702684-447-1_4,1,1
20170508.1727702684-447-1_5,1,1
20170508.1727702684-447-1_6,1,1
20170508.1727702684-447-1_7,1,1
20170508.1727702684-447-1_8,1,1
20170508.1727702684-447-1_9,1,1
20170509.1727702684-455-1_1,1,1
20170509.1727702684-455-1_10,1,1
20170509.1727702684-455-1_11,1,1
20170509.1727702684-455-1_12,1,1
20170509.1727702684-455-1_13,1,1
20170509.1727702684-455-1_14,1,1
20170509.1727702684-455-1_15,1,1
20170509.1727702684-455-1_16,1,0
20170509.1727702684-455-1_2,1,1
20170509.1727702684-455-1_3,1,1
20170509.1727702684-455-1_4,1,1
20170509.1727702684-455-1_5,1,1
20170509.1727702684-455-1_6,1,1
20170509.1727702684-455-1_7,1,1
20170509.1727702684-455-1_8,1,1
20170509.1727702684-455-1_9,1,1
20170509.1727702684-458-1_1,1,1
20170509.1727702684-458-1_10,1,1
20170509.1727702684-458-1_11,1,1
20170509.1727702684-458-1_12,1,1
20170509.1727702684-458-1_13,1,1
20170509.1727702684-458-1_14,1,1
20170509.1727702684-458-1_15,1,1
20170509.1727702684-458-1_16,1,1
20170509.1727702684-458-1_2,1,1
20170509.1727702684-458-1_3,1,1
20170509.1727702684-458-1_4,1,1
20170509.1727702684-458-1_5,1,1
20170509.1727702684-458-1_6,1,1
20170509.1727702684-458-1_7,1,1
20170509.1727702684-458-1_8,1,1
20170509.1727702684-458-1_9,1,1
20170509.1727702684-459-1_1,1,1
20170509.1727702684-459-1_10,1,1
20170509.1727702684-459-1_11,1,1
20170509.1727702684-459-1_12,1,1
20170509.1727702684-459-1_13,1,1
20170509.1727702684-459-1_14,1,1
20170509.1727702684-459-1_15,0,1
20170509.1727702684-459-1_16,1,1
20170509.1727702684-459-1_2,1,1
20170509.1727702684-459-1_3,1,1
20170509.1727702684-459-1_4,1,1
20170509.1727702684-459-1_5,1,1
20170509.1727702684-459-1_6,1,1
20170509.1727702684-459-1_7,1,1
20170509.1727702684-459-1_8,1,1
20170509.1727702684-459-1_9,1,1
20170509.1727702684-465-1_1,1,1
20170509.1727702684-465-1_10,1,1
20170509.1727702684-465-1_11,1,1
20170509.1727702684-465-1_12,1,1
20170509.1727702684-465-1_13,1,1
20170509.1727702684-465-1_14,1,1
20170509.1727702684-465-1_15,1,1
20170509.1727702684-465-1_16,1,1
20170509.1727702684-465-1_2,1,1
20170509.1727702684-465-1_3,1,1
20170509.1727702684-465-1_4,1,1
20170509.1727702684-465-1_5,1,1
20170509.1727702684-465-1_6,1,1
20170509.1727702684-465-1_7,1,1
20170509.1727702684-465-1_8,1,1
20170509.1727702684-465-1_9,1,1
20170515.1727702684-1050-1_1,1,1
20170515.1727702684-1050-1_10,1,1
20170515.1727702684-1050-1_11,1,1
20170515.1727702684-1050-1_12,1,1
20170515.1727702684-1050-1_13,1,1
20170515.1727702684-1050-1_14,1,1
20170515.1727702684-1050-1_15,1,1
20170515.1727702684-1050-1_16,1,1
20170515.1727702684-1050-1_2,1,1
20170515.1727702684-1050-1_3,1,1
20170515.1727702684-1050-1_4,1,1
20170515.1727702684-1050-1_5,1,1
20170515.1727702684-1050-1_6,1,1
20170515.1727702684-1050-1_7,1,1
20170515.1727702684-1050-1_8,1,1
20170515.1727702684-1050-1_9,1,1
20170515.1727702684-1052-1_1,1,1
20170515.1727702684-1052-1_10,1,1
20170515.1727702684-1052-1_11,1,1
20170515.1727702684-1052-1_12,1,1
20170515.1727702684-1052-1_13,1,1
20170515.1727702684-1052-1_14,1,1
20170515.1727702684-1052-1_15,1,1
20170515.1727702684-1052-1_16,1,1
20170515.1727702684-1052-1_2,1,1
20170515.1727702684-1052-1_3,1,1
20170515.1727702684-1052-1_4,1,1
20170515.1727702684-1052-1_5,1,1
20170515.1727702684-1052-1_6,1,1
20170515.1727702684-1052-1_7,1,1
20170515.1727702684-1052-1_8,1,1
20170515.1727702684-1052-1_9,1,1
20170515.1727702684-1053-1_1,1,1
20170515.1727702684-1053-1_10,1,1
20170515.1727702684-1053-1_11,1,1
20170515.1727702684-1053-1_12,1,1
20170515.1727702684-1053-1_13,1,1
20170515.1727702684-1053-1_14,1,1
20170515.1727702684-1053-1_15,1,1
20170515.1727702684-1053-1_16,1,1
20170515.1727702684-1053-1_2,1,1
20170515.1727702684-1053-1_3,1,1
20170515.1727702684-1053-1_4,1,1
20170515.1727702684-1053-1_5,1,1
20170515.1727702684-1053-1_6,1,1
20170515.1727702684-1053-1_7,1,1
20170515.1727702684-1053-1_8,1,1
20170515.1727702684-1053-1_9,1,1
20170515.1727702684-1056-1_1,1,1
20170515.1727702684-1056-1_10,1,1
20170515.1727702684-1056-1_11,1,1
20170515.1727702684-1056-1_12,1,1
20170515.1727702684-1056-1_13,1,1
20170515.1727702684-1056-1_14,1,1
20170515.1727702684-1056-1_15,1,1
20170515.1727702684-1056-1_16,1,1
20170515.1727702684-1056-1_2,1,1
20170515.1727702684-1056-1_3,1,1
20170515.1727702684-1056-1_4,1,1
20170515.1727702684-1056-1_5,1,1
20170515.1727702684-1056-1_6,1,1
20170515.1727702684-1056-1_7,1,1
20170515.1727702684-1056-1_8,1,1
20170515.1727702684-1056-1_9,1,1
20170515.1727702684-1059-1_1,1,1
20170515.1727702684-1059-1_10,1,1
20170515.1727702684-1059-1_11,1,1
20170515.1727702684-1059-1_12,1,1
20170515.1727702684-1059-1_13,1,1
20170515.1727702684-1059-1_14,1,1
20170515.1727702684-1059-1_15,1,1
20170515.1727702684-1059-1_16,1,1
20170515.1727702684-1059-1_2,1,1
20170515.1727702684-1059-1_3,1,1
20170515.1727702684-1059-1_4,1,1
20170515.1727702684-1059-1_5,1,1
20170515.1727702684-1059-1_6,1,1
20170515.1727702684-1059-1_7,1,1
20170515.1727702684-1059-1_8,1,1
20170515.1727702684-1059-1_9,1,1
20170515.1727702684-1062-1_1,1,0
20170515.1727702684-1062-1_10,1,1
20170515.1727702684-1062-1_11,1,1
20170515.1727702684-1062-1_12,1,1
20170515.1727702684-1062-1_13,1,1
